NM,
232842,
133445,
45760,
666499,
186032,
,
,7
,
HD,
33217,
624607,
,3
,
HR,
566773,
28121,
,3
,
DT,
163941,
61414,
357544,
,4
,
FM,
57126,
14769,
,3
,
TB,
473364,1
