Team,Team [KOR]Rem,오합지졸,Team _AvA,Team Chitogod,Donald Duck,맥북17인치사고싶다,Team T__T,Team Tofunim
A1,[KOR]Rem,[RyuTell],_AvA,Chitogod,mx10000,NNAisle,T__T,Tofunim
A2,_sPekTrE,Im Not Rank,Telta,flansl,[Soju_Desu],Enon,Wh1te_,idky
B1,hanmineAG,icecreamez,sevensh77,_Suyong,R-15,C O I N,[ BlueArmy ],nonpro22
B2,[KOR]Nano,siroitora,Xenoray,[KOR]_Scarlet,Atipir,Yuraeha,Blasol,_Rimea_
C1,Hoshikuz,[KOR]RenNew,pseudophilia,[KOR]Sora,Ruby15,Kano_Desu,Yoiiin,incoding
C2,Bangpaejang,K-RiNyang,Yunabi,PostScr1pt,Gomo Fanboy,GarlicSauce,Akathin,FrozenKaya
,,,,,,,,
